Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
basic red 76,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_051.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calculation of the EC 3 value was not performed as no test concentration produced a stimulation index of 3 or above.,test tem concentration (w/v) - si: 2.5% - 0.9; 5% - 1.1; 10% - 1.3.  the positive control induced a distinct increase of the stimulation index and gave an EC3 of 11.7% w/v.,,,,,,"based on the criteria of the test system, c008 was found to be a non-sensitizer when tested up to a concentration of 10% (w/v) in ethanol:water (7:3 v/v) in mice. ",a dilution of the test item in a mixture of ethanol:water (7:3 v/v) was made shortly before each dosing. ,,,,,98.1,"although acetone:olive oil (4:1 v/v) is recommended, ethanol:water (7:3 v/v) was selected as the vehicle due to pre-tests on the solubility of the test item. ",50644 101,test substance: c008 (sat 040267),mouse/ cba/CaOlaHsd ,,,f,,4,,"2.5, 5, 10%",25µl,"topical, once daily for 3 consecutive dats",ethanol:water 7:3 (v/v),2004,yes,"the vehicle used to test c008 was non-standard and different to that used for the peri- contemporaneous control. the highest dilution tested was 10% in ethanol:water. therefore, a sensitising potential cannot be excluded. curiously, concentrations above 10% C008 in ethanol:water were found to be irritating whereas moistened C008 was non irritating to the skin. ",8,"an appropriate reference (α-hexylcinnamaldehyde) was used as positive control to demonstrate the sensitivity of the test system. 5%, 10% and 25% dilutions in acetone:olive oil were used. the control group was treated with the vehicle exclusively. ","the highest non-irritating, “technically applicable” test item concentration was determined in a pre-test with 4 mice. based on these test results 2.5%, 5% and 10% solutions were chosen for the main study.",,the solvent used with the test substance differs from the solvent used with the positive control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic yellow 57,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the stimulation index (s.i.) was below 3 in all dose groups. no dose response relation was noted. test item 2.5%: 1.2,  5%: 1.5, 10% 1.5. calculation of the ec 3 value was not performed as the s.i. value did not reach or exceed 3 for any test concentration.
",,,,,,"based on the criteria of the test system, c10 was not a non-sensitizer when tested up to 10% in ethanol:water (7:3 v/v) in mice.",,,,,,,99.3,15,test substance: c10 (sat 040269),mouse/ CBA/CaOlaHsd (nulliparous and non-pregnant) ,,,f,,4,,"2.5, 5, 10 % (w/v) solutions",25 μl,"topicalapplication on dorsal surface of the ears (both left and right), once daily for 3 consecutive dats",ethanol:water 7:3 (v/v),2004,yes,"in a pre-study evaluation on 2 mice, 1%, 2.5%, 5% and 10% solutions were evaluated. the highest dose (10%) in the main study was considered by the study authors to be “the highest technically applicable concentration whilst avoiding systemic toxicity and excessive local irritation”. it cannot be excluded that c10 is a skin sensitiser as the maximum test concentration (10%) is too low. ",8,"positive control: α-hexylcinnamaldehyde at 5, 10 and 25% in acetone:olive oil (4:1 v/v). alfa-hexylcinnamaldehyde5%: s.i 1.5, 10%: 2.3,  25% : 8.4. the positive control used affected an increase in stimulation index with an EC3 of 11.7%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disperse violet 1,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_028.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec3: 3.75%. ,"test item 0.5%: si 1.3, 1.5%: si 2.7, 4.5%: si 3.1, 9%: si 4.1",,,,,,disperse violet 1 is a skin sensitizer. ,,,,"0.5, 1.5, 4.5, 9",,97.9,,mb002,test substance: disperse violet 1,mouse: cba/j,,,f,,20,,"0.5, 1.5, 4.5, 9 % (w/v) ",25 μl,topical on dorsal surface of each ear,dmso,2002,yes,"according to the grading scheme used by sccs (sccp/0919/05), disperse violet 1 is a moderate skin sensitiser. ",20 (subm. 2),"positive control: 1% p-phenylenediamine, si at 1%: 6.4",,"all animals received an intravenous injection (Infusion pump) of 250 μl of pbs containing 20 μCi of [3H] methyl thymidine. 5 hours later the animals were sacrified, the auricular lymph node taken and weighed and a single cell suspension obtained from each animal. ",,,,the mean DPM for each group was calculated. increases on [3H]-tymidine incorporation relative to the vehicle were derived and recorded as the stimulation index (test item/vehicle ratio). a positive response is defined as 3-fold or greater increase in isotope incorporation relative to the vehicle. the EC3 value (concentration inducing a stimulation index of 3) was derived by the interpolation between two points in the stimulation index. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 16,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_045.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no clinical signs were observed in any animals of the control group and the low and mid dose group. on the second application day, all mice of the high dose group excreted deep yellow urine, persisting for a total of three days.",si was above 3 in all dose groups. no dose response relation was noted. test item concentration (% (w/v)) – s.i.: 5 – 3.0 / 10 – 3.9 / 25 – 3.8;  ec3: about 5%; ,,,,,,hc red n° 16 was found to be a moderate sensitizer when tested in acetone:olive oil (4:1) in mice.,a homogenous dilution of the test item in a mixture of acetone:olive oil (4:1 v/v) was made shortly before each dosing. ,,,,the test item in the vehicle,99.4,,ro-rn6794-107,test substance: hc red n°16 ,mouse/ cba/caOlaHsd,,,f,,4,,"5, 10, 25%",25 μl,topical on dorsal surface of each ear, acetone:olive oil (4:1 v/v),2004,yes,,8,positive control: α-hexylcinnamaldehyde. the control group was treated with the vehicle exclusively. positive control (% (w/v)): 5 – s.i 1.5 / 10 – s.i 2.3 / 25 – s.i 8.4. ec3 positive control: about 11.7%,"the highest technically applicable test item concentration of 25% was found to be non-irritating in a pretest with two female mice. based on these test results 5%, 10% and 25% solutions were chosen for the main study. ",,radiochemical: thymidine (3HTdR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 17,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_182.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the validity criteria were fulfilled. in particular, a si value of 5.21 was obtained with the positive control hca. si values of 1.42, 1.53, 1.75, 2.36 and 2.55 were obtained at hc red n° 17 concentrations of 1%, 2.5%, 5%, 10% and 25%, respectively. ",,,,,,,"under the conditions of this study, hc red n° 17 did not induce delayed contact hypersensitivity and was therefore considered to be devoid of sensitising potential. ",,,,,,88.5 +/- 0.6,"due to unsatisfactory solubility tests of hc red no. 17 in the first recommended vehicles, dmso was selected. a solubility study showed that 50% (w/v) hc red no. 17 in dmso was the maximal achievable concentration.",039 d 001 ,test substance: hc red n° 17 (b120),mouse/cba/j,,,f,,4,,"0, 1, 2.5, 5, 10, 25 % (w/v) solutions",25 μl,,dmso,2012,yes,hc red n° 17 induced a dose-dependent increase of lymphocyte proliferation in the llna that resulted in a si value of 2.55 at the highest dose (25%) tested. hc red n° 17 is not considered to be a skin sensitiser under the conditions of the test. ,4,"a negative control group receiving the vehicle (dmso) alone. - a positive control group receiving alpha-hexylcinnamaldehyde (hca) at 25% (v/v) in
dmso."," the pre-test showed that treatment with 50% hc red n° 17 caused a 40% increase in ear thickness, and this concentration therefore was not selected for the main study.","test procedure: animals were separated in 7 groups (4 mice/group) consisting of: - 5 treated groups receiving hc red n° 17 at 1, 2.5, 5, 10 or 25% (w/v) in dmso. - due to unsatisfactory solubility tests of hc red n° 17 in the first recommended vehicles, dmso was selected. - the pre-test showed that treatment with 50% hc red n° 17 caused a 40% increase in ear thickness, and this concentration therefore was not selected for the main study. - ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic yellow 87,OECD 406 (1992),https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_081.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none of the animals showed any reaction. under the test conditions mip 2982 was not a sensitiser.,,,,,mip 2982,>92,,CGF-FO16737/0016,,guinea pig / himalayan spotted albino ,,,f,,15,,intradermal induction: 1% in water; topical induction: 50% in water; topical challenge two weeks after topical induction  : 50% in water,,,,occluded,,"intradermal induction was performed with a 1% dilution of test article in water with and without freund’s complete adjuvant. prior to topical induction the test sites were pretreated with 10% sls for 24 hours. two weeks after topical induction the animals were challenged with occlusive patches, and reactions were evaluated at 24 and 48 hours after removal of patches. yellow discoloration was noted and all animals were depilated approximately 3 hours prior to reading.",,yes,,8,control animals were treated with vehicle without mip2982 with  animals,the concentrations were selected based on pilot studies,taken from sccnfp/0730/03. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bis(butylbenzoate) diaminotriazine aminopropyltrisiloxane ,OECD TG 429 / EC B.42,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_055.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no mortality and no clinical signs were observed during the study. among the different concentrations of test item applied, the highest concentration (25%) revealed to be slightly irritant based on an increase in ear thickness. ","for the different test concentrations of 1%, 2.5%, 5%, 10% and 25%, SI-values of 0.81, 1.06, 0.97, 1.12, and 2.32 were derived, respectively, whereas the positive control yielded a SI of 14.71. thus, stimulation indices of the test item did not exceed 3 for any of the concentrations tested.",,,,,the highest concentration (25%) revealed to be slightly irritant based on an increase in ear thickness. ,"under the experimental conditions of this study, the test item r0027603a did not induce contact sensitization in the murine local lymph node assay. ",,,,,r0027603a,98.2,,pilote 2,test substance: r0027603a ,mouse/ cba/j,,,f,,4,,"1, 2.5, 5, 10, 25 % [w/v] of test item in AOO",25 μl,"route: application to the dorsal surface of both ears on days 1, 2 and 3",acetone/olive oil ,2009,yes,,5,negative control: vehicle only; positive control: 25% (v/v) α-hexylcinnamaldehyde (HCA) in AOO,"for the preliminary test (performed in order to select doses for the main study), 25 μl of test item at concentrations of 5, 10, 25 and 50% in vehicle were applied to the external surface of both ears for three consecutive days. ear thickness was determined using a micrometer the day before treatment, during each treatment day and 72 hrs after the last application. as an increase in ear thickness was noted on day 6 at the 50% concentration, a concentration of 25% was selected as the highest dose for the main study. 1 animal in preliminary test",,,,,,,,,,,,,,"test procedure: animals were separated in 7 groups (4 mice/group) consisting of: - 5 treated groups receiving hc red n° 17 at 1, 2.5, 5, 10 or 25% (w/v) in dmso. - due to unsatisfactory solubility tests of hc red n° 17 in the first recommended vehicles, dmso was selected. - the pre-test showed that treatment with 50% hc red n° 17 caused a 40% increase in ear thickness, and this concentration therefore was not selected for the main study. - ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,7-naphthalenediol",OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_034.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the ec3 value calculated from these data was 2.8%. ,treatment - induction - mean dpm ± sd - si ± sd / vehicle control - acetone : olive oil - 213 ± 170 - 1.0 / experimental - 5% hexylcinnamaldehyde (hca) - 250 ± 171 - 1.2 ± 1.0 / experimental - 10 % hca - 580 ± 365 - 2.7 ± 1.0./ experimental - 25% hca - 3575 ± 1207 - 16.8 ± 0.9 /experimental - 0.5% test substance - 218 ± 139 - 1.6 ± 0.7/ experimental - 1.0% test substance - 241 ± 147 - 1.8 ± 0.7 / experimental - 2.5% test substance - 191 ± 34 - 1.4 ± 0.3 / experimental - 5.0% test substance - 684 ± 440 - 4.5 ± 0.9 / experimental - 25% test substance - 1878 ± 416 - 12.4 ± 0.7 / experimental  - 50% test substance - 632 ± 151 - 4.2 ± 0.7 / vehicle control - acetone : olive oil (4:1 v/v) - 151 ± 94 - 1.0 / vehicle control - acetone : olive oil (4:1 v/v) - 134 ± 40 - 1.0,,,,,,"the results indicate that 2,7-naphthalenediol is a moderate skin sensitiser. ",,,,"0.5, 1.0, 2.5, 5.0, 25, 50 (w/v) ",,99.9,,20020517,"test substance: 2,7-naphthalenediol",mouse/cba caolahsd,,10-11 weeks,f,,5,,,25 µl,25 µl of test material or vehicle control and positive control was applied to the dorsal surface of both ear lobes once daily for 3 consecutive days. 5 days after the first application animals were injected iv with 250µl 3 H-methyl thymidine in the tail vein. mice were sacrificed 5 hours later. ,acetone:olive oil 4:1 (v/v),,yes,,6,"positive control: alpha-hexylcinnamaldehyde (5, 10 and 25%), vehicle control: acetone/olive oil (4:1, v/v).",,llna: local lymph node assay,,,,,,,,,,,,,"test procedure: animals were separated in 7 groups (4 mice/group) consisting of: - 5 treated groups receiving hc red n° 17 at 1, 2.5, 5, 10 or 25% (w/v) in dmso. - due to unsatisfactory solubility tests of hc red n° 17 in the first recommended vehicles, dmso was selected. - the pre-test showed that treatment with 50% hc red n° 17 caused a 40% increase in ear thickness, and this concentration therefore was not selected for the main study. - ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butylphenyl methylpropional (p-bmhca) ,"OECD 406, OPPTS 870.2600 (rifm 2001a,b,c,d; rifm #37065, #37066, #37067, #37068; isola & lalko 2001, rifm #38352, lalko et al. 2004, rifm #45128)",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/system/files/2021-08/sccs_o_213_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"based on these results, it was concluded that bmhca has the potential to induce dermal sensitisation in the murine llna.","the estimated concentrations for the ec3 values were 2.97% (743 μg/cm2) for ethanol; 4.17% (1043 μg/cm2) for dep; 13.91% (3478 μg/cm2) for etoh:dep=1:3, 8.85% (2213 μg/cm2) for etoh:dep=3:1.",,,,,98.6,,658003,test substance: bmhca,mouse/ cba/ca/ola/hsd,,,m,,4,,"0.3, 1, 3, 10, 30, 50% (w/v)",,,,,"ethanol (etoh), diethyl phthalate (dep), etoh:dep = 1:3 or 3:1",,,yes,"bmhca was comprehensively tested in experimental animals, mostly according to guideline procedures and under glp conditions. several positive llna resulted in ec3 values indicative for sensitisation. depending on the solvent, the ec3 values ranged from 2.97% (in etoh) to 13.91% (in 25% etoh/75% dep), and up to 18.7% by application of bmhca in acetone/olive oil (4:1). another llna with etoh as vehicle showed SI>3 for all tested doses of bmhca (10, 25, 50, 100%). an ec3 value of about 2.9% bmhca in the llna has been substantiated by data from the international fragrance association directly submitted to sccs in 2009 (sccs, 2012). by contrast, gpmt's performed were contradictory and thus ambiguous. finally, dermal reactions have been observed in a kao test in guinea pigs. based on the animal data obtained, the overall potency classification of bmhca is a ""moderate sensitiser"" (basketter et al., 2005; SCCP, 2005 and 2012). the data on the sensitisation potential of p-BMHCA provided in Submission II do not change the SCCS's previous conclusion (SCCS/1540/14) that p-BMHCA is a moderate skin sensitiser.  SCCS comment on additional data submission 2: the data on the sensitisation potential of p-bmhca provided in submission II do not change the sccs's previous conclusion (sccs/1540/14) that p-bmhca is a moderate skin sensitiser.",,positive control: α-hexylcinnamal in acetone,,"llna, guideline: oecd 406, oppts 870.2600(rifm 2001a,b,c,d; rifm #37065, #37066, #37067, #37068; isola & lalko 2001, rifm #38352; lalko et al. 2004, rifm #45218). method: each group of four male mice was treated once daily for three consecutive days by topical application to the dorsal surface of each ear lobe (application volume of 25 μl). on day six, all mice were injected with 250 μl of [3h]-thymidine in sterile saline. five hours later, mice were sacrificed. from submission 1: SCCS conclusion on skin sensitisation: BMHCA was comprehensively tested in experimental animals, mostly according to guideline procedures and under GLP conditions. Several positive LLNA resulted in EC3 values indicative for sensitisation. Depending on the solvent, the EC3 values ranged from 2.97% (in EtOH) to 13.91% (in 25% EtOH/75% DEP), and up to 18.7% by application of p-BMHCA in acetone/olive oil (4:1). Another LLNA with EtOH as vehicle showed SI>3 for all tested doses of p-BMHCA (10, 25, 50, 100%). An EC3 value of about 2.9% p-BMHCA in the LLNA has been substantiated by data from the International Fragrance Association directly submitted to SCCS in 2009 (SCCS, 2012). By contrast, GPMTs performed were contradictory and thus ambiguous. Finally, dermal reactions have been observed in a KAO test in guinea pigs. Based on the animal data obtained, the overall potency classification of p-BMHCA is a ""moderate sensitiser"" (Basketter et al., 2001; SCCP, 2005 and 2012). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butylphenyl methylpropional (p-bmhca) ,OECD 406 and 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf & https://ec.europa.eu/health/system/files/2021-08/sccs_o_213_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bmhca showed no potential for skin sensitisation up to a concentration of 10%, but was positive at 25%. ","the si value was 0.8, 1.3, 1.3, 1.9, and 3.6 with 1%, 2.5%, 5%, 10% and 25%, respectively. ",,,,,97.8,,9000422'182,test substance: bmhca,mouse/ cba/ca/ola/hsd,,,f,,4,,25 ml aliquot,,,,,acetone:oil (4:1),,,yes,"bmhca was comprehensively tested in experimental animals, mostly according to guideline procedures and under glp conditions. several positive llna resulted in ec3 values indicative for sensitisation. depending on the solvent, the ec3 values ranged from 2.97% (in etoh) to 13.91% (in 25% etoh/75% dep), and up to 18.7% by application of bmhca in acetone/olive oil (4:1). another llna with etoh as vehicle showed SI>3 for all tested doses of bmhca (10, 25, 50, 100%). an ec3 value of about 2.9% bmhca in the llna has been substantiated by data from the international fragrance association directly submitted to sccs in 2009 (sccs, 2012). by contrast, gpmt's performed were contradictory and thus ambiguous. finally, dermal reactions have been observed in a kao test in guinea pigs. based on the animal data obtained, the overall potency classification of bmhca is a ""moderate sensitiser"" (basketter et al., 2005; SCCP, 2005 and 2012). the data on the sensitisation potential of p-BMHCA provided in Submission II do not change the SCCS's previous conclusion (SCCS/1540/14) that p-BMHCA is a moderate skin sensitiser. SCCS comment on additional data submission 2: the data on the sensitisation potential of p-bmhca provided in submission II do not change the sccs's previous conclusion (sccs/1540/14) that p-bmhca is a moderate skin sensitiser.","rifm 2001b, rifm #41235",,,"llna, first additional murine llna; animals received the aliquot to the dorsal surface of each ear for 3 consecutive days. from submission 1: SCCS conclusion on skin sensitisation: BMHCA was comprehensively tested in experimental animals, mostly according to guideline procedures and under GLP conditions. Several positive LLNA resulted in EC3 values indicative for sensitisation. Depending on the solvent, the EC3 values ranged from 2.97% (in EtOH) to 13.91% (in 25% EtOH/75% DEP), and up to 18.7% by application of p-BMHCA in acetone/olive oil (4:1). Another LLNA with EtOH as vehicle showed SI>3 for all tested doses of p-BMHCA (10, 25, 50, 100%). An EC3 value of about 2.9% p-BMHCA in the LLNA has been substantiated by data from the International Fragrance Association directly submitted to SCCS in 2009 (SCCS, 2012). By contrast, GPMTs performed were contradictory and thus ambiguous. Finally, dermal reactions have been observed in a KAO test in guinea pigs. Based on the animal data obtained, the overall potency classification of p-BMHCA is a ""moderate sensitiser"" (Basketter et al., 2001; SCCP, 2005 and 2012).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
